20171206081434.84,25.1652,103.0873,23.8,0.8
20171207104151.88,24.9953,103.4478,6.8,0.5
20171208225512.77,25.2705,103.1363,5.4,2.2
20171209035743.39,24.9007,102.8360,0.7,0.3
20171210030440.55,25.1678,103.1237,44.4,0.6
20171212040017.52,24.9335,102.8517,7.7,0.6
20171217072129.48,25.0260,103.0968,34.5,0.3
20171217043059.33,24.9573,102.8810,22.7,0.9
20171220042742.43,25.0018,103.2163,16.9,0.4
20171223103101.61,24.9612,102.8825,24.0,1.0
20171224100903.54,24.6955,103.3365,8.9,0.5
20171226050114.63,24.8888,102.8463,5.9,0.3
20171226070556.86,25.2030,103.1035,25.1,0.9
20171227104251.88,24.9702,103.1753,43.4,0.0
20171228185129.84,24.5600,103.3642,8.9,0.2
20171228105944.21,25.4955,103.5127,2.7,0.5
20171231040649.57,25.2243,103.1255,20.4,0.1
20180103192547.60,24.5638,102.8957,7.1,0.8
20180103213613.05,25.9358,102.6885,21.7,1.5
20180112054948.38,25.1927,103.1118,24.9,1.1
20180114081209.70,25.2580,103.2007,14.3,0.8
20180120061323.98,25.1307,103.0673,24.3,0.4
20180201152614.52,24.5683,103.4163,9.2,0.8
20180203235500.65,24.7727,103.5132,0.1,0.3
20180207053240.97,24.9950,103.2488,20.1,0.3
20180211063426.17,25.1247,103.1347,20.1,0.9
20180211030524.30,25.0100,103.2307,12.5,0.3
20180211061820.07,25.2347,103.1207,22.6,0.0
20180212035257.22,24.9813,103.0855,31.1,0.2
20180213190246.86,25.1138,103.1025,11.8,0.1
20180216145101.03,24.4717,102.2443,18.2,0.8
20180220141031.42,24.8967,103.0500,27.7,1.6
20180221124040.85,24.6305,103.0077,0.3,0.4
20180226190201.40,25.2353,103.2847,8.7,0.1
20180228172405.53,24.8522,103.1195,8.2,0.4
20180301093829.75,25.1503,103.1035,32.2,1.5
20180306174426.03,24.8403,103.0512,9.1,0.3
20180307031702.79,25.0547,103.1948,20.8,0.6
20180312034232.81,25.0265,103.1922,23.2,0.8
20180313062009.16,24.9652,103.0705,9.3,0.5
